 1/2" NPT/M20x1,5
1250*640 G=1"NPT, 10"-300#
1250mm/6ft immersion;6"-150#Ansi
1258*100*100
125ml
125x121x4,76
125x191x4,76
125x3
125x3,00mm
125x4mm
125x5,00
125x51
125x51x3
125X6
125x86
125x86x3
125x86x4,76
126,00 / x 2,60mm
126,00 / x 3,00mm
126,67 / x 2,62mm
126x2,60mm
126x3
127 X 127 X 550
127 X 8
127/1750RPM, 13.79:1 RATIO
127/190,5X3,18MM/SPECIAL
1279 0-100PSIG;UE H117 4-100PSIG
1279 0-30PSIG;UE H117 4-30PSIG
1279 -30Hg-100PSIG
1279 -30Hg-30PSIG
1279AS,DRW7033,80-06
1279SS; 0/160 psi; 100PSI SET
1279SS; 30˝ Hg/15 psi; 2PSI SET
127RPM, 13.54:1 RATIO
127x62x6,35
127X8 / A=113 B=109
128,00 / x 6,00mm
1280 8MX-36 HT500 BELT
1280-8M-85 HT250 BELT
1280-8MX-12 HT500 BELT
1280-8MX-21 HT500 BELT
128RPM, 13.7:1 RATIO
128X1,0
128x3,00mm
128X560X6
129,5x7
129,7mm/left/three-lobe/special
129,7mm/right/three-lobe/special
12L
12mm
12X1
12X1 / 2"
12X1 / 4"
12x1,00/special
12x1,50mm/special
12x1,75x20
12x1,75x25
12x1,75x9
12X1/2" NPT/CAST 112132
12x1/2"NPT/CAST 111832
12x1/4 NPT/ref.AFI
12x1/4" BSP
12x1/8" BSP
12x16x1,5mm
12X18X1,2
12x2
12x22x7/see int.comment
12X24 / DN150
12X3 / 4"
12x3/8" NPT/ L serie
12x45x7/see int.comment
12x70
12x8x40
12X8X50
12xØ21,5
13 teeth; pitch 2262mm; 7,5mm
13 teeth; pitch1131mm; 7,5mm
13" x 13"
13"x13"/2.5" 150# FF ANSI
13,00x2,00mm
13.3" x 89"
13.38" x 42" Long
13.70x12.99"/3" 600# RF ANSI
1-3/4"-5 Thread Size
1-3/4"-5 Thread Size, 7" Long
130*12*20 M6
130G-002 A/B 130G-003 A/B PLT130
130HP,1750/46RPM,37.90:1
130MM MATERIAL: AISI 316
130MM MATERIAL: AISI316
130mm,6x5V,frame324T
130mm/three-lobe
130mm/three-lobe/totally metal
130X1,0
130x148
130x24x0,5
130x3mm/special
130x475
131x186x4
131x186x4,8
131x186x6,35
132,94x3,53mm
132F001801
132S/M/5,44CV/400V/SPECIAL
133 X 1,0
133,00 / x 3,50mm
13-30PSI .50 CONN
134,00 / x 3,00mm
134,50x163,00x1,00mm
134,50x163,00x1,20mm
134,50x163,00x1,50mm
134,6x482,6
135 X 4,0
135,00 / 170,00
135,00 / x 2,50mm
135,00x3,00mm
135,89 / x 6,99mm
135,89x5,33
135,89x5,33mm
135RPM, 12.96:1 RATIO
135x4,00
135X6
135x670
135x670x13
136,10x3,50
136,12x3,53mm
136x105
136x140
136x140,8x4,76
136x140,8x4,8
136x210
136x210,8x4,76
136x70
137,00 / x 3,00mm
137x3mm
137x68x4,8
138/118*3
138x475
139,00 / x 2,50mm
139,7x74,7x6,5
139x3,00mm
13RPM, 135.99:1 RATIO
13x2,0mm/special
13x2,5
13x2/special
13x3mm
14 x 2 / 2"
14 x 5
14" wide x 81.50" Long
14,0 x 9,0 x 32,0
14,00x2,00mm
14.043HP,63RPM,28.00:1
14.57" wide x 69.29" Long
140 FRAME W22 SERIES
140*5
140,00 / 170,00
140,00 / x 10,00mm
140,00 / x 2,00mm
140,00 / x 5,00mm
140.14*5.33
140IEC/19mm;1.25BSP
140MM X 60MM X 7MM X 10MM
140mm,5x3V,frame215T
140mm,5x3V,frame256T
140mm,5x3V,frame284T
140mm,5x3V,mot. 132M
140mm,5x3V,mot. 160L
140RPM, 12.48:1 RATIO
140TC
140X1,0
140x130 / 115x105
140x140/A=175/B=164/C:R=205
140x140/A=192/B=164/C:R=85/
140x170x13/TF/special
140x170x3,5
140x2,62
140x235x2
140x4
140x8
14-1/2" LONG
142
142*3
142,2X 9
1-42x9,5/COD.SEW: 111600
143/145
143/5 FRAM 2/4 POLE
143T FRAME
143TC Adapter plate (BT Display)
1440-8M-50 HT250 BELT
1440-8M-85 HT250 BELT
1440-8MX-21
1440-8MX-62 HT500 BELT
144x3,50mm
145*3
145*3B
145*4
145,00 / 175,00
145,00 / x 4,00mm
145,00 / x 9,00mm
145,00x3,00mm
145,42x5,33mm
145,64x3,53
1450 X 975 X 5,0
145T FRAME
145x3,00mm
145x5mm
146 X 2,0
146X2,0
147,50 / x 5,60mm
147,50x 5,60mm
147x3
148 X 52 X 0,5
149*3
149*375
149,00x3,00mm
149x3
14E 121D
14M6x36,00mm
14m6x45
14MM
14MM BORE X 5MM KEY SPL
14MMBORE X 5MMX5MM KEY
14MX-112S-20-3525 HT500 SPKT
14MX-154S-37-3525
14MX-180S-20-3525 HT500 SPKT
14MX-200S-37-4030 HT500 SPKT
14MX-224S-20-4030 HT500 SPKT
14MX-28S-20-2012
14MX-28S-37-2012
14MX-29S-37 2517
14MX-31S-20-2012 HT500 SPKT
14MX-32S-20-2012 HT500 SPKT
14MX-34S-37 2517 SPROCKET
14MX-35S-37 2517 SPROCKET
14MX-36S-20-2517 HT500 SPKT
14MX-36S-37 2517 TAPER LOCK
14MX-36S-68-3020 HT500 SPKT
14MX-37S-68-3020 HT500 SPKT
14MX-38S-37-3020
14MX-38S-68-3020 HT500 SPKT
14MX-39S-90-3020 HT500 SPKT
14MX-40S-20-2517 HT500 SPKT
14MX-40S-37-3020 HT500 SPKT
14MX-40S-68 3020
14MX-40S-68-3020
14MX-45S-20 3020
14MX-45S-90-3525 HT500 SPKT
14mx-48S-20-3020 HT500 SPKT
14MX-50S-20-3020 HT500 SPKT
14MX-50S-68-3525 HT500 SPKT
14MX-53S-90-3525 HT500 SPKT
14MX-56S-90-4030 HT500 SPKT
14MX-60S-68-3525 HT500 SPKT
14MX-63S-37-3525 HT500
14MX-63S-68-3525 HT500 SPKT
14MX-67S-68-3525 HT500 SPKT
14MX-67S-90 4030
14MX-71S-37-3525 HT500 SPKT
14MX-75S-125-5040 HT500 SPKT
14MX-75S-68-3525 HT500 SPKT
14MX-80S-20-3525 HT500 SPKT
14MX-80S-37-3525 HT500
14MX-80S-90-4030 HT500 SPKT
14oz tube
14X10X10
14x18
14X24 / DN150
14x2mm
14x2x9
14x5x4
14X9X28 / S: L=28
14x9x34
14X9X50 / S: L=50
14X9X50 / S: L=75
14X9X80
15
1-5 GALLON AIL
15 X 1
15 X 1,5
15 X 1/2" BSP
15 X 1/2" NPT
15 X 3
15" WIDE x 115" LG. x 3.40" HIGH
15*2
15,00 / 25,00
15,00 / x 3,00mm
15,00x2,00/A=96,0mm
15,30x2,40mm
15,40 / x 1,76mm
15,54 / x 2,62mm
15,60 / x 1,78mm
15.00" wide x 48 Long
15.0HP 142RPM 12.48:1 RATIO
15.0HP 157RPM 11.24:1 RATIO
15.0HP 170RPM 10.44:1 RATIO
15.0HP 177RPM 10.0:1 RATIO
15.0HP 1800RPM 254TC
15.0HP 1800RPM, 254TC SPEC.
15.0HP 313RPM 5.66:1 RATIO
15.0HP 329RPM 5.38:1 RATIO
15.0HP 329RPM,5.38:1 RATIO
15.0HP 376RPM 4.71:1 RATIO
15.0HP 377/1465RPM 3.89:1 RATIO
15.0HP 493RPM 3.59:1 RATIO
15.0HP, 142RPM, 12.48:1 RATIO
15.0HP, 1800RPM, 254TC
15.0HP, 331RPM, 4.42:1 RATIO
15.0HP, 400RPM, 4.42:1 RATIO
15.0HP, 548RPM
15.0HP, 60/329RPM, 5.38:1 RATIO
15.0HP,1750RPM, 6.96:1 RATIO
15.0HP,1770/104RPM,460V,16.96:1
15.0HP,1770/174RPM,460V,10.20:1
15.0HP,1770/197RPM,460V,8.97:1
15.0HP,1770/232RPM,460V,7.63:1
15.0HP,1770/267RPM,460V,6.63:1
15.0HP,1770/286RPM,460V,6.19:1
15.0HP,1770/313RPM,460V,5.66:1
15.0HP,1770/322RPM,460V,5.50:1
15.0HP,1770/329RPM,460V,5.38:1
15.0HP,1770/400RPM,460V,4.42:1
15.0HP,1770/455RPM,460V,3.89:1
15.0HP,1770/479RPM,460V,3.69:1
15.0HP,1770/480RPM,460V,3.69:1
15.0HP,1770/482RPM,460V,3.67:1
15.0HP,1800RPM,254TC
15.0HP,1800RPM,460V,254TC
15.0HP,286RPM,6.19:1 RATIO
15.0HP,32/159RPM, 11.24:1 RATIO
15.0HP,32/159RPM, 9.24:1 RATIO
15.0HP,434RPM,4.03:1
15.0HP,461RPM, 3.84:1 RATIO
15.0HP,63/313RPM, 5.66:1 RATIO
15.0HP,69RPM,25.44:1
15.0HP,70RPM, 25.44:1 RATIO
15.16 x 35
15.39" X 33.70" 1/8" THK
15/16" / S: L= 101.6
15/5 μm
150
150  X 3
150 * 5 B
150 HP
150 x 150
150 X 150 / DN  1
150 X 150 / DN  3
150 X 150 / DN  6
150 x 150 / DN 1.1
150 x 150 / DN 2
150 x 150 / DN 3
150 x 150 / DN 4
150 X 160
150 X 350
150 x 38 / 100x124 / 70x90
150 x 38 / 100x127 / 88x76
150 X 38 X 12,7
150 X 4
150 X 65 X 5
150 X 8
150 X 8 X 370
150# 316/316L FORGED PIPE FLANGE
150#ANSI RF
150#RF ANSI
150*160
150*3.5
150*6
150,00x 2,00mm
150,00x3,00mm
150/API cod.UDPFX
150×115×1
1500x330mm/3" 125# FF ANSI
150B
150HP,1780RPM,460V,445T
150HP,1800RPM,230/460V,444/5T
150HP,211A,460V
150mm
150mm x 190mm Ring Set
150mm/with spiral grooves
150X 190X19,0
150x100
150x120x9,53
150x140mm/int.Ø:101mm/thick:1mm
150X150 / DN 1 / 1"
150x150/A=186/B=174/C:R=120mm
150X150X100
150x160
150x160 / see internal comments
150x160/VC131
150x180x15/TC/R2
150X190X20
150X20X1
150x3,00mm
150x4
150x5
150x5,00mm
150X6
150X70X148
151,77 / x 5,33mm
151,77x5,33mm
151.7*5.33
1512-8M-50 HT250 BELT
152 14M 85
152,00x 5,00mm
152,07 / x 2,62mm
152,07 x 2,62mm
152RPM, 11.54:1 RATIO
152x3
153026/QSF-1/4-8-B
153054/QSL-1/2-12
153X670
154 X 254
154 X 254 / 1.1/2"
154 X 254 / 1/2"
154 X 254 / DN20
154 X 254 / S: A= 160,1mm
154,20 / x 5,70mm
154RPM 11.39:1 RATIO
154RPM, 11.39:1 RATIO
154RPM,11.38:1 RATIO
154x254
154x254/01 drain
154x254mm/w.1 drain
155*4
155,00 / x 3,53mm
155,00x4,00mm
155/174*3
155x3
156 RPM, 11.25:1 RATIO
1568-14MX-68 HT500 BELT
156mm (6.14")  length
156RPM, 11.24:1 RATIO
157x157x4
158,34x3,53mm
158.78*03.53
15A
15B
15HP  1800RPM 254TC
15HP 115RPM 15.18:1 RATIO
15HP 1200RPM 284TC TEFC-INV
15HP 1500RPM 254TC TEFC-XP
15HP 1750 RPM IEEE-841 TEFC
15HP 1750/170RPM 10.23:1
15HP 1800 RPM
15HP 1800RPM 254TC
15HP 1800RPM 254TC TEFC MOD.
15HP 1800RPM, 256TC MOD.
15HP 197 RPM 8.97:1 RATIO
15HP 240/200 V,3 PHASE
15HP 269 RPM 6.57:1 RATIO
15HP 283RPM 6.19:1 RATIO
15HP 286RPM 6.19:1 RATIO
15HP 313RPM 5.66:1 RATIO
15HP 400RPM 4.42:1 RATIO
15HP 461RPM 3.84:1 RATIO
15HP 493RPM 3.59:1 RATIO
15HP, 1750, 254TC
15HP, 1750, 254TC, MOD
15HP, 1750/309RPM, 5.66:1 RATIO
15HP, 1750RPM, 254TC
15HP, 1770/167RPM, 10.60:1 RATIO
15HP, 1770/232RPM, 7.63:1 RATIO
15HP, 1770/269RPM, 6.57:1 RATIO
15HP, 1800RPM, 254TC
15HP, 1800RPM, 256TC
15HP, 200RPM, 8.87 RATIO
15HP, 229RPM, 7.73:1 RATIO
15HP, 269 RPM, 6.57:1 RATIO
15HP, 269RPM, 6.57 RATIO
15HP, 39/191RPM, 9.24:1 RATIO
15HP, 434RPM, 4.03:1 RATIO
15HP, 460V, 1800RPM, 254TC - MOD
15HP, 460VOLTS,1800RPM 254TC
15HP, 64RPM, 27.66:1 RATIO
15HP, 76/376RPM, 4.71:1 RATIO
15HP,1175RPM, 284T
15HP,1180RPM,460V,284/6T
15HP,1200RPM, 284T
15HP,1200RPM,208-230/460V,284TC
15HP,1200RPM,460V,284T
15HP,1465/159RPM, 9.24:1 RATIO
15HP,152RPM, 11.54:1 RATIO
15HP,157RPM, 9.24:1 RATIO
15HP,1750RPM, 254TC - MOD
15HP,1750RPM,208-230/460V,254TC
15HP,1750RPM,230/460V,254TC
15HP,1750RPM,460V,254TC
15HP,1750RPM,480V,254TC
15HP,1755RPM,230/460V,254TC
15HP,1760RPM,254T,TEFC,F1
15HP,1765RPM,208-230/460V,254/6T
15HP,1765RPM,460V,254TC
15HP,1770/104RPM, 16.96:1 RATIO
15HP,1770/113RPM,460V,15.66:1
15HP,1770/117RPM, 15.18:1 RATIO
15HP,1770/117RPM,460V,15.18:1
15HP,1770/170RPM, 10.44:1 RATIO
15HP,1770/170RPM,10.44:1 RATIO
15HP,1770/192RPM,9.24:1 RATIO
15HP,1770/200RPM, 8.87:1 RATIO
15HP,1770/229RPM,460V,7.73:1
15HP,1770/229RPM,7.73:1 RATIO
15HP,1770/232RPM,460V,7.63:1
15HP,1770/243RPM,460V,7.27:1
15HP,1770/269RPM,460V,6.57:1
15HP,1770/269RPM,6.57:1 RATIO
15HP,1770/286RPM,460V,6.19:1
15HP,1770/313RPM,460V,5.66:1
15HP,1770/322RPM,460V,5.5:1
15HP,1770/329RPM,460V,5.38:1
15HP,1770/376RPM,460V,4.71:1
15HP,1770/440RPM, 4.03:1 RATIO
15HP,1770RPM
15HP,1770RPM,208-230/460V,254TC
15HP,1775RPM,460V,254TC
15HP,1800RPM, 208-230/460, 254TC
15HP,1800RPM, 254TC
15HP,1800RPM,208-230/460V,254TC
15HP,1800RPM,230/460V,254TC
15HP,1800RPM,460V,254T
15HP,1800RPM,460V,254TC
15HP,189RPM,9.24:1
15HP,19/95RPM, 18.67:1 RATIO
15HP,22/218RPM, 8.12:1 RATIO
15HP,23/223RPM,220/380V,6.57:1
15HP,267RPM,6.63:1 RATIO
15HP,27/267RPM, 6.63:1 RATIO
15HP,32/157RPM, 11.24:1 RATIO
15HP,40/200RPM, 8.87:1 RATIO
15HP,44/218RPM, 8.12:1 RATIO
15HP,46/229RPM, 7.73:1 RATIO
15HP,47/232RPM, 7.63:1 RATIO
15HP,54/269RPM, 6.57:1 RATIO
15HP,58/286RPM, 6.19:1 RATIO
15HP,60/300RPM, 11.67:1 RATIO
15HP,60/329RPM, 5.38:1 RATIO
15HP,62/311RPM, 4.71:1 RATIO
15HP,63/313RPM, 5.66:1 RATIO
15P,1750RPM,480V,254TC
15PSI, 125/250VAC 0.12"NPT
15x1
15x2
15x20mm
15x25x6/see int.comment
16' 3.5"
16 GA. 24" x 45.50"
16'' HOPPPER TRANSITION FLANGE
16 M6 X 26,00mm/ Form: A
16 x 1
16 X 1,0
16 X 10 X 140 / A 16
16 X 10 X 45 / A 16
16 X 10 X 80 / A 16
16 X 12
16 X 120
16 X 20
16 X 3
16 X 75
16 X 80
16" 150#/8" 300# FF ANSI
16" ANSI Flange 300#
16" wide x 10" Long
16*26*5
16.26" wide x 124.02" Long
16.50" wide x 42" Long
16.654HP,76RPM,23.02:1
160 X 160
160*4
160,00 / 200,00
160,00 / x 4,00mm
160,00 / x 5,70mm
160° u-size
1600-8M-20 HT250 BELT
1600-8M-35
1600-8MX-21
1600-8MX-36 HT500 BELT
1600-8MX-62 HT500 BELT
16014
160IEC,19mm;1.25"NPT
160IEC/19mm
160IEC/19mm;
160IEC/19mm;1.1/2" TC
160IEC/19mm;1.25" NPT
160IEC/19mm;1.25";APZ 3.1
160IEC/19mm;1.25"BSP
160IEC/19mm;1.25"NPT
160IEC/19mm;1.5"TC;4.a.0;2.b.0
160IEC/19mm;1.5"TC;4.a2;2.a.1
160IEC/19mm;1.50"TC;4.a.0;2..0
160IEC/19mm;1.50"TC;4.a.0;2.b.0
160IEC/19mm;2"/2"-125# ANSI
160IEC/19mm;2"/2"-150# ANSI
160IEC/19mm;2"-125# ansi
160IEC/19mm;2"-150# ansi
160IEC/19mm;2"TC
160IEC/19mm;DN50/PN16
160IEC/19mm;G1,25Z
160IEC;19mm; 1.25"NPT
160IEC;19mm; 2"-150# ansi
160IEC;19mm; 2"TC
160IEC;19mm; 2"TC,1.a.1;4.a.0
160IEC;19mm;1.25" FNPT
160IEC;19mm;1.25"bsp
160IEC;19mm;1.25"NPT
160IEC;19mm;2"-150# ansi
160IEC;19mm;2"-150#;2"-300# ansi
160IEC;19mm;2"TC
160IEC;19mm;2"TC;1.a.1;4.a.0;
160IEC;19mm;2.5"-150# ansi
160IEC;6mm;1.5"-300# ansi
160iIEC/19mm
160M/15,0 CV/690V/special
160MM
160MM IEC FLANGE
160mm IEC;1.25'' NPT
160mm IEC;19mm;1.25" NPT
160mm/flange:IEC-160
160mm;19mm; 2"/2'' 150# ANSI
160x111
160x160/A=195/B=184/C:R= 230
160x160/A=195/B=184/C:R=240mm
160x190x3,5mm
160x3
160x4
1610 X 1 5/8-KW
1610 X 20MM-KW BUSHING
1610 X 28MM-KW BUSHING
1610 X 35MM-KW BUSHING
1610-14MX-20 HT500 BELT
161X461
162,00 / x 4,50mm
163,00 / x 5,00mm
1630*120*120  M24
163mm,5x3V,mot. 132M
163mm,6x5V,frame324T
164
164,47 / x 6,99mm
164,69x3,53
1648 PLAN API 11/65
164X2,0
165,00 / x 3,00mm
165,00 / x 5,00mm
165,00 / x 6,00mm
165,00 x 135,00 / S EXT
165,00mm x 3,00mm
165,00x3,00
165,00x3,00mm
1650X800X400 / DO PAINEL
165x3
165x3,00mm
165x3mm
166x112
166x112 / DN150
166x112x4,76
166x160
166x160x4,76
166x238
166x238x4,76
166x344x4,76
166x76
166x76x4,76
168,3 x 7,1 / S: 168,3 x 7,1mm
168RPM, 10.44:1 RATIO
168x3
168x52
169,00 / x 8,70mm
169RPM, 10.35:1 RATIO
16A 3P+T 380V
16h11x45x38mm
16h8
16h8x54mm/form B
16h8x68
16oz
16x10
16x10 / S: L= 114.3
16x10x180 DIN6885
16X10X70
16X10X90
16x2x11
16x90mm
17" Long 6" 300#
17,00 / 28,00
17,00 / 30,00
17,00 / x 2,00mm
17,00 / x 3,00mm
17,00mm x 3,00mm
17,04 / x 3,53mm
17,10 x 2,60mm
17,10x 2,60mm
17.21*29.84
17.31" X 92" X 4"
1-7/16 BORE x .375 KEY #1610
1-7/16 BORE x .375 KEY #2012
1-7/16 BORE x .375 KEY #2517
170 x 170
170 X 6
170*5
170,00 / 200,00
170,00 / x 2,00mm
170,00 x 200,00 x 15,00
170,82x5,33mm
1700*390
1700MM * 390MM
170x15mm
170x170x2
170X190X12
170x200x15/see int.comm.
170x200x3,5mm
170x3
170x65mm
170x65x3mm/(mold Nºmol 0001)
171,04x3,53/special
172,07x3,55mm
1720-5M-25 HT250 BELT
172x112x2mm
172x112x3mm
174*4
174,00 / x 3,00mm
174,00x 4,00mm
174,00x4,00
174RPM,10.04:1
174x3
174x3mm
174x4
174x4mm
174Y C090M1 P20c UNN21 B3
175*15*15 M5
175,00 / x 12,00mm
1750/114RPM, 15.38:1 RATIO
1750/138RPM, 12.68:1 RATIO
1750/140RPM, 12.48:1 RATIO
1750/186RPM, 9.4:1 RATIO
1750/197RPM, 8.87:1 RATIO
1750/198RPM, 8.87:1 RATIO
1750/225RPM, 7.78:1 RATIO
1750/266RPM, 6.57:1 RATIO
1750/340RPM, 5.14:1 RATIO
1750/506RPM, 3.46:1 RATIO
1750/60RPM, 29.08:1 RATIO
1750-14MX-20 HT500 BELT
1750-14MX-37 HT500 BELT
1750-14MX-68 HT500 BELT
1750-14MX-90 HT500 BELT
175x115
175x12
175x175x2,77
175X215X20
175X215X22
175X4
1760-8M-50 HT250 BELT
1760-8MX-12
1760-8MX-12 HT500 BELT
1760-8MX-21 HT500 BELT
1760-8MX-36
1760-8MX-36 HT500
1760-8MX-62 HT500 BELT
176X4
177,17 / x 6,99mm
177,39x3,53/parker code 2-262
1778-14M-55 HT250 BELT
178 X 9,52
178,00 / x 3,50mm
1792-8MX-12 HT500 BELT
1792-8MX-36
1792-8MX-62
17KW, 1767RPM, 160TC
17x28x6
17x28x7/see int.comment
17x3
17X65CM
18
18 x 1
18 X 11 X 120 / A  18
18 X 3
18 X 80
18" wide x 118" Long
18" wide x 121.50" Long
18" wide x 136 Long
18" WIDE x 30" LG. x 3.5" HIGH
18" WIDE x 31" LG. x 3.5" HIGH
18" WIDE x 40" LG. x 3.5" HIGH
18" x 13" x 6"
18" x 35" x 53"
18"x12"x3"
18*2.5
1-8*8.50LG
18,0 x 11,0 x 78,0
18,00 / 30,00
18,00 / 35,00
18,00x2,00mm
18.00" wide x 100.5 Long
18.00" wide x 121 Long
18.00" wide x 95" Long x 3.40" H
18.267x18.897x0,175in
18/22x1,5mm
180
180 X 3
180 x 670 x 7
180*215*15
180*3
180*5mm
180,00 / x 3,00mm
180,00 / x 5,00mm
180,00 / x 5,50mm
180,00 / x 5,70mm
180,00x3,00mm
1800-8M-12
1800-8M-22
1800MM
1800RPM 145TC TEFC-WSHD 180VDC
180L/30CV/s. inter. comment
180WB 70MM SA 1 D S W - NM076B
180x180x1,5
180x210x15/SF/special
180x4mm
181,00x 6,00mm
182,00x 11,00mm
182/4
182/4 FRAME; 2/4 POLE
182/4 FRAME; NPT 1"
182/4TC
183,52 / x 6,99mm
183,70 / x 3,53mm
1830*130*130 M24
1830mm/100mm/100mm/M24
1840-14M-65
184TC,5-7.5HP
184TC/5,0CV/575V/special
184X2,0
185,00x2,00mm/special
185mm,5x3V,frame215T
185mm,5x3V,frame256T
185mm,5x3V,frame284T
185x4
185x4,00mm
186
186 X 368 X 6,35
186x130
186x184
186x184x4
186x25x12,7
186x260
186x260 / DN4
186x260x4
186x260x6,35
186x368
186x368x6,35
186x520
186x520x6,35
186x780
186x92
187mm (7.36")  length
1890-14MX-20 HT500 BELT
1890-14MX-37 HT500 BELT
189RPM, 9.24:1 RATIO
189RPM, 9.25:1 RATIO
18h8
18h8x64mm/form B
18h8x83
18MM Bore. 6X2.8MM Kwy
18X1
18X11X130
18X11X200
18x15mm
18x15x0,5mm
18x2mm/special
18x35x7
18x35x7/see int.comment
18x3mm
18x48
19 BAR 28 BAR Top/Top
19 X 1,0
19,00 / x 1,60mm
19,05 x 1
19,05 x 3
19,05 x 3/4"NPT
19,05x2,11mm
19,0x30,0x7,0mm
19.05x19.05x400 / 3/4"
19.12" wide x 78.00" Long
19.634HP,179RPM,23.92:1
19.75 x 9.5 x 12.5
190*45*20
190*5
190,00 / x 5,40mm
190,00 / x 5,50mm
190,00 / x 5,70mm
190,00 / x 6,00mm
190,5X48
1909*85*85
190x220X15/TC/R2
190X3
190x5
1915*120*120 M24
1915x52x16
19-27MM 3/4" - 1.1/16"
193*25*15 M8
193x3,50mm
194,50 / x 3,00mm
195,00 / x 4,00mm
195,00mm x 4,00mm
195,00x 5,00mm
195,00x4,00mm
195RPM 9.00:1 RATIO
195x4
195x5,00mm/special
195x5mm/special
196,22x5,33mm
1960-14MX-20 HT500 BELT
1960-14MX-68 HT500 BELT
196RPM, 8.92:1 RATIO
196X112X126
196x120.8x2 mm
198x3mm
19MM
19X40
1A,125V,1/4 x 1-1/4
1HP 1750/294RPM 5.96:1 RATIO
1HP 266 RPM 6.57:1 RATIO
1HP 3 PHASE 480 OUTPUT NEMA 4X
1HP 3PHASE 240VAC OUTPUT NEMA 4X
1HP 512RPM 3.22 RATIO
1HP 537RPM 3.22:1 RATIO
1HP 833 RPM 2.10:1 RATIO
1HP, 1,522.00RPM, 1.15:1 RATIO
1HP, 111RPM, 15.76:1 RATIO
1HP, 1730/143RPM, 12.06:1 RATIO
1HP, 1730/415RPM, 4.17:1 RATIO
1HP, 1730/456RPM, 3.79:1 RATIO
1HP, 1730/500RPM, 3.46:1 RATIO
1HP, 1730/537RPM, 3.22:1 RATIO
1HP, 1750/223RPM, 7.83:1 RATIO
1HP, 1750/420RPM, 4.17:1 RATIO
1HP, 1750/446RPM, 3.92:1 RATIO
1HP, 1750/462RPM, 3.79:1 RATIO
1HP, 1750RPM, 230/460V, 143TC
1HP, 21/201 5RPM, 8.72:1 RATIO
1HP, 242RPM, 7.23:1 RATIO
1HP, 33/643RPM, 2.72:1 RATIO
1HP, 367RPM, 4.77:1 RATIO
1HP, 462RPM, 3.79:1 RATIO
1HP, 614RPM, 2.85:1 RATIO
1HP,1415/200RPM,380V,7.08:1
1HP,1415/252RPM,460V,5.62:1
1HP,151RPM,11.56:1
1HP,1720/351RPM,230V,4.90:1
1HP,1725RPM,460V,143TC
1HP,172RPM,10.15:1
1HP,1730/110RPM,460V,15.76:1
1HP,1730/120RPM,460V,20.37:1
1HP,1730/128RPM,460V,13.54:1
1HP,1730/138RPM,460V,12.51:1
1HP,1730/140RPM,460V,15.76:1
1HP,1730/152RPM,460V,11.39:1
1HP,1730/160RPM,460V,10.83:1
1HP,1730/177RPM,9.79:1 RATIO
1HP,1730/221RPM, 7.83:1 RATIO
1HP,1730/221RPM,460V,7.83:1
1HP,1730/22RPM,460V,77.40:1
1HP,1730/22RPM,460V,80.00:1
1HP,1730/242RPM,460V,7.15:1
1HP,1730/244RPM,460V,7.08:1
1HP,1730/244RPM,575V,7.08:1
1HP,1730/269RPM,460V,6.43:1
1HP,1730/269RPM,6.43:1 RATIO
1HP,1730/285RPM, 6.06:1 RATIO
1HP,1730/28RPM,460V,60.85:1
1HP,1730/29RPM,460V,60.00:1
1HP,1730/300RPM,5.77:1 RATIO
1HP,1730/337RPM,5.14:1 RATIO
1HP,1730/357RPM, 4.84:1 RATIO
1HP,1730/35RPM,460V,50.00:1
1HP,1730/35RPM,460V,50:1
1HP,1730/372RPM,460V,4.65:1
1HP,1730/374RPM, 4.62:1 RATIO
1HP,1730/374RPM,4.62:1 RATIO
1HP,1730/415RPM,4.17:1 RATIO
1HP,1730/415RPM,460V,4.17:1
1HP,1730/43RPM,460V,40.00:1
1HP,1730/456RPM, 3.79:1 RATIO
1HP,1730/456RPM,3.79:1 RATIO
1HP,1730/500RPM,3.46:1 RATIO
1HP,1730/537RPM,3.22:1 RATIO
1HP,1730/537RPM,460V,3.22:1
1HP,1730/568RPM, 3.05:1 RATIO
1HP,1730/592RPM,2.92:1 RATIO
1HP,1730/592RPM,460V,2.92:1
1HP,1730/636RPM, 2.72:1 RATIO
1HP,1730/636RPM,2.72:1 RATIO
1HP,1730/636RPM,575V,2.72:1
1HP,1730/695RPM, 2.49:1 RATIO
1HP,1730/69RPM,460V,25.00:1
1HP,1730/746RPM,460V,2.32:1
1HP,1730/989RPM, 1.75:1 RATIO
1HP,1730RPM,460V,IEC B5 A200
1HP,1740/270RPM, 6.43:1 RATIO
1HP,1740/417RPM, 4.17:1 RATIO
1HP,1741RPM,3/60/380V,143TC MOD.
1HP,1745RPM,115/208-230V,56C
1HP,1750/22RPM,460V,80:1
1HP,1750/333RPM,460V,5.26:1
1HP,1750/43RPM,460V,40.00:1
1HP,1750/58RPM,460V,30:1
1HP,1750/643RPM, 2.72:1 RATIO
1HP,1750/751RPM,2.33:1 RATIO
1HP,1750RPM, 208-230/460V, 143TC
1HP,1750RPM, 208-230/460V, 145TC
1HP,1750RPM,230/460V,143TC
1HP,1750RPM,460V,143TC
1HP,1750RPM,460V,56C
1HP,1750RPM,575V,140TC
1HP,1750RPM,575V,143TC
1HP,1760RPM, 208-230/460V, 143TC
1HP,1760RPM, 208-230/460V,143TC
1HP,1760RPM,230/460V,56C
1HP,1760RPM,230V,56C
